平台名称,类型,提交入口/网址,推荐用途,是否通常需要登录,是否可能付费,计数条件,避坑说明,来源
DNSChecker,技术检测 / 公开资料页,https://dnschecker.org,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
DomainIQ,技术检测 / 公开资料页,https://domainiq.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
HackerTarget,技术检测 / 公开资料页,https://hackertarget.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Host.io,技术检测 / 公开资料页,https://host.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,多为已有域名资料页，可记录为公开资料页，不要包装成推荐。,实测记录
HTTPStatus.io,技术检测 / 公开资料页,https://httpstatus.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
HypeStat,技术检测 / 公开资料页,https://hypestat.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
IPAddress.com,技术检测 / 公开资料页,https://ipaddress.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
IPQualityScore Domain Reputation,技术检测 / 公开资料页,https://ipqualityscore.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
IPVoid,技术检测 / 公开资料页,https://ipvoid.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Mozilla Observatory,技术检测 / 公开资料页,https://developer.mozilla.org,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
MXToolbox,技术检测 / 公开资料页,https://mxtoolbox.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Netcraft,技术检测 / 公开资料页,https://sitereport.netcraft.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
NSLookup.io,技术检测 / 公开资料页,https://nslookup.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
OpenAdminTools,技术检测 / 公开资料页,https://openadmintools.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
PageSpeed Insights,技术检测 / 公开资料页,https://pagespeed.web.dev,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
PublicWWW,技术检测 / 公开资料页,https://publicwww.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,属于公开检索结果页，不是产品推荐。,实测记录
Quttera,技术检测 / 公开资料页,https://quttera.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Robtex,技术检测 / 公开资料页,https://robtex.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
ScamAdviser,技术检测 / 公开资料页,https://scamadviser.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SecurityHeaders,技术检测 / 公开资料页,https://securityheaders.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Shodan Domain Records,技术检测 / 公开资料页,https://shodan.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SimilarSites,技术检测 / 公开资料页,https://similarsites.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SitePrice,技术检测 / 公开资料页,https://siteprice.org,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SSL Labs,技术检测 / 公开资料页,https://ssllabs.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SSLShopper,技术检测 / 公开资料页,https://sslshopper.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
SSLTrust Website Security Check,技术检测 / 公开资料页,https://ssltrust.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
StatShow,技术检测 / 公开资料页,https://statshow.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Sucuri SiteCheck,技术检测 / 公开资料页,https://sitecheck.sucuri.net,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Sur.ly,技术检测 / 公开资料页,https://sur.ly,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
URLScan,技术检测 / 公开资料页,https://urlscan.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
VirusTotal,技术检测 / 公开资料页,https://virustotal.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,只提交公开网站；这是安全资料页，不是产品推荐。,实测记录
W3Techs,技术检测 / 公开资料页,https://w3techs.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Wappalyzer,技术检测 / 公开资料页,https://wappalyzer.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Web of Trust,技术检测 / 公开资料页,https://mywot.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Website Informer,技术检测 / 公开资料页,https://website.informer.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
WhatCMS,技术检测 / 公开资料页,https://whatcms.org,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
WhatRuns,技术检测 / 公开资料页,https://whatruns.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Who.is,技术检测 / 公开资料页,https://who.is,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Whois.com,技术检测 / 公开资料页,https://whois.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Whoxy,技术检测 / 公开资料页,https://whoxy.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Worth Of Web,技术检测 / 公开资料页,https://worthofweb.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
Active Search Results,Add URL / 搜索发现,https://activesearchresults.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现明确提交回执、pending review、email confirmation 完成或可验证结果页才计数。,质量一般，注意广告、邮件确认和无回执情况。,实测记录
Free Web Submission,Add URL / 搜索发现,https://freewebsubmission.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现明确提交回执、pending review、email confirmation 完成或可验证结果页才计数。,质量一般，注意广告、邮件确认和无回执情况。,实测记录
InfoTiger,Add URL / 搜索发现,https://infotiger.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现明确提交回执、pending review、email confirmation 完成或可验证结果页才计数。,质量一般，注意广告、邮件确认和无回执情况。,实测记录
